,AREA # 01,Banteay Meanchey,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, Total,8021,7653,15674,,,,
,,,,,,,,
,SUMMARY,,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,105929,100622,206551,,,,
, 5 - 9 years,106752,101789,208541,,,,
, 10 - 14 yrs,127075,122184,249259,,,,
, 15 - 19 yrs,161301,181034,342335,,,,
, 20 - 24 yrs,173769,196852,370621,,,,
, 25 - 29 yrs,152581,162283,314864,,,,
, 30 - 34 yrs,71963,74400,146363,,,,
, 35 - 39 yrs,86532,87759,174291,,,,
, 40 - 44 yrs,72185,73364,145549,,,,
, 45 - 49 yrs,61938,67765,129703,,,,
, 50 - 54 yrs,44434,59388,103822,,,,
, 55 - 59 yrs,33758,44101,77859,,,,
, 60 - 64 yrs,21725,29511,51236,,,,
, 65 - 69 yrs,14589,21108,35697,,,,
, 70 - 74 yrs,9843,15778,25621,,,,
, 75 - 79 yrs,6111,10627,16738,,,,
, 80+ yrs,5085,9892,14977,,,,
, Total,1255570,1358457,2614027,,,,
,,,,,,,,
NIS - General Population Census 2008,,,,,,,,
Processed with Redatam+SP,,,,,,,,
UNECLAC/CELADE 2010-2015,,,,,,,,
,,,,,,,,
