"Country or Area","Year","Area","Sex","Age of mother","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2010","Total","Female","37","Data tabulated by year of occurrence","Final figure, complete","2010","14245","1"
"Russian Federation","2010","Total","Female","38","Data tabulated by year of occurrence","Final figure, complete","2010","11167","1"
"Russian Federation","2010","Total","Female","39","Data tabulated by year of occurrence","Final figure, complete","2010","8157","1"
"Russian Federation","2010","Total","Female","40","Data tabulated by year of occurrence","Final figure, complete","2010","5786","1"
"Russian Federation","2010","Total","Female","41","Data tabulated by year of occurrence","Final figure, complete","2010","3725","1"
"Russian Federation","2010","Total","Female","42","Data tabulated by year of occurrence","Final figure, complete","2010","2327","1"
"Russian Federation","2010","Total","Female","43","Data tabulated by year of occurrence","Final figure, complete","2010","1383","1"
"Russian Federation","2010","Total","Female","44","Data tabulated by year of occurrence","Final figure, complete","2010","774","1"
"Russian Federation","2010","Total","Female","45","Data tabulated by year of occurrence","Final figure, complete","2010","383","1"
"Russian Federation","2010","Total","Female","46","Data tabulated by year of occurrence","Final figure, complete","2010","201","1"
"Russian Federation","2010","Total","Female","47","Data tabulated by year of occurrence","Final figure, complete","2010","111","1"
"Russian Federation","2010","Total","Female","48","Data tabulated by year of occurrence","Final figure, complete","2010","56","1"
"Russian Federation","2010","Total","Female","49","Data tabulated by year of occurrence","Final figure, complete","2010","45","1"
"Russian Federation","2010","Total","Female","50 +","Data tabulated by year of occurrence","Final figure, complete","2010","48","1"
"Russian Federation","2010","Total","Female","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","1089","1"
"Russian Federation","2009","Total","Male","Total","Data tabulated by year of occurrence","Final figure, complete","2010","905380","1"
"Russian Federation","2009","Total","Male","12","Data tabulated by year of occurrence","Final figure, complete","2010","2","1"
"Russian Federation","2009","Total","Male","13","Data tabulated by year of occurrence","Final figure, complete","2010","24","1"
"Russian Federation","2009","Total","Male","14","Data tabulated by year of occurrence","Final figure, complete","2010","177","1"
"Russian Federation","2009","Total","Male","15","Data tabulated by year of occurrence","Final figure, complete","2010","913","1"
"Russian Federation","2009","Total","Male","16","Data tabulated by year of occurrence","Final figure, complete","2010","3651","1"
"Russian Federation","2009","Total","Male","17","Data tabulated by year of occurrence","Final figure, complete","2010","9641","1"
"Russian Federation","2009","Total","Male","18","Data tabulated by year of occurrence","Final figure, complete","2010","19986","1"
"Russian Federation","2009","Total","Male","19","Data tabulated by year of occurrence","Final figure, complete","2010","33101","1"
"Russian Federation","2009","Total","Male","20","Data tabulated by year of occurrence","Final figure, complete","2010","44029","1"
"Russian Federation","2009","Total","Male","21","Data tabulated by year of occurrence","Final figure, complete","2010","53422","1"
"Russian Federation","2009","Total","Male","22","Data tabulated by year of occurrence","Final figure, complete","2010","60533","1"
"Russian Federation","2009","Total","Male","23","Data tabulated by year of occurrence","Final figure, complete","2010","62444","1"
"Russian Federation","2009","Total","Male","24","Data tabulated by year of occurrence","Final figure, complete","2010","64362","1"
"Russian Federation","2009","Total","Male","25","Data tabulated by year of occurrence","Final figure, complete","2010","66464","1"
"Russian Federation","2009","Total","Male","26","Data tabulated by year of occurrence","Final figure, complete","2010","64146","1"
"Russian Federation","2009","Total","Male","27","Data tabulated by year of occurrence","Final figure, complete","2010","57453","1"
"Russian Federation","2009","Total","Male","28","Data tabulated by year of occurrence","Final figure, complete","2010","52808","1"
"Russian Federation","2009","Total","Male","29","Data tabulated by year of occurrence","Final figure, complete","2010","48680","1"
"Russian Federation","2009","Total","Male","30","Data tabulated by year of occurrence","Final figure, complete","2010","44689","1"
"Russian Federation","2009","Total","Male","31","Data tabulated by year of occurrence","Final figure, complete","2010","39977","1"
"Russian Federation","2009","Total","Male","32","Data tabulated by year of occurrence","Final figure, complete","2010","35486","1"
"Russian Federation","2009","Total","Male","33","Data tabulated by year of occurrence","Final figure, complete","2010","30841","1"
"Russian Federation","2009","Total","Male","34","Data tabulated by year of occurrence","Final figure, complete","2010","26237","1"
"Russian Federation","2009","Total","Male","35","Data tabulated by year of occurrence","Final figure, complete","2010","21918","1"
"Russian Federation","2009","Total","Male","36","Data tabulated by year of occurrence","Final figure, complete","2010","17987","1"
"Russian Federation","2009","Total","Male","37","Data tabulated by year of occurrence","Final figure, complete","2010","14089","1"
"Russian Federation","2009","Total","Male","38","Data tabulated by year of occurrence","Final figure, complete","2010","10529","1"
"Russian Federation","2009","Total","Male","39","Data tabulated by year of occurrence","Final figure, complete","2010","7698","1"
"Russian Federation","2009","Total","Male","40","Data tabulated by year of occurrence","Final figure, complete","2010","5294","1"
"Russian Federation","2009","Total","Male","41","Data tabulated by year of occurrence","Final figure, complete","2010","3525","1"
"Russian Federation","2009","Total","Male","42","Data tabulated by year of occurrence","Final figure, complete","2010","2162","1"
"Russian Federation","2009","Total","Male","43","Data tabulated by year of occurrence","Final figure, complete","2010","1232","1"
"Russian Federation","2009","Total","Male","44","Data tabulated by year of occurrence","Final figure, complete","2010","685","1"
"Russian Federation","2009","Total","Male","45","Data tabulated by year of occurrence","Final figure, complete","2010","346","1"
"Russian Federation","2009","Total","Male","46","Data tabulated by year of occurrence","Final figure, complete","2010","143","1"
"Russian Federation","2009","Total","Male","47","Data tabulated by year of occurrence","Final figure, complete","2010","77","1"
"Russian Federation","2009","Total","Male","48","Data tabulated by year of occurrence","Final figure, complete","2010","47","1"
"Russian Federation","2009","Total","Male","49","Data tabulated by year of occurrence","Final figure, complete","2010","25","1"
"Russian Federation","2009","Total","Male","50 +","Data tabulated by year of occurrence","Final figure, complete","2010","46","1"
"Russian Federation","2009","Total","Male","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","511","1"
"Russian Federation","2009","Total","Female","Total","Data tabulated by year of occurrence","Final figure, complete","2010","856307","1"
"Russian Federation","2009","Total","Female","12","Data tabulated by year of occurrence","Final figure, complete","2010","3","1"
"Russian Federation","2009","Total","Female","13","Data tabulated by year of occurrence","Final figure, complete","2010","19","1"
"Russian Federation","2009","Total","Female","14","Data tabulated by year of occurrence","Final figure, complete","2010","160","1"
"Russian Federation","2009","Total","Female","15","Data tabulated by year of occurrence","Final figure, complete","2010","884","1"
"Russian Federation","2009","Total","Female","16","Data tabulated by year of occurrence","Final figure, complete","2010","3458","1"
"Russian Federation","2009","Total","Female","17","Data tabulated by year of occurrence","Final figure, complete","2010","9319","1"
"Russian Federation","2009","Total","Female","18","Data tabulated by year of occurrence","Final figure, complete","2010","19047","1"
"Russian Federation","2009","Total","Female","19","Data tabulated by year of occurrence","Final figure, complete","2010","31057","1"
"Russian Federation","2009","Total","Female","20","Data tabulated by year of occurrence","Final figure, complete","2010","41541","1"
"Russian Federation","2009","Total","Female","21","Data tabulated by year of occurrence","Final figure, complete","2010","50344","1"
"Russian Federation","2009","Total","Female","22","Data tabulated by year of occurrence","Final figure, complete","2010","56776","1"
"Russian Federation","2009","Total","Female","23","Data tabulated by year of occurrence","Final figure, complete","2010","58892","1"
"Russian Federation","2009","Total","Female","24","Data tabulated by year of occurrence","Final figure, complete","2010","60486","1"
"Russian Federation","2009","Total","Female","25","Data tabulated by year of occurrence","Final figure, complete","2010","62591","1"
"Russian Federation","2009","Total","Female","26","Data tabulated by year of occurrence","Final figure, complete","2010","60798","1"
"Russian Federation","2009","Total","Female","27","Data tabulated by year of occurrence","Final figure, complete","2010","54210","1"
"Russian Federation","2009","Total","Female","28","Data tabulated by year of occurrence","Final figure, complete","2010","49859","1"
"Russian Federation","2009","Total","Female","29","Data tabulated by year of occurrence","Final figure, complete","2010","46005","1"
"Russian Federation","2009","Total","Female","30","Data tabulated by year of occurrence","Final figure, complete","2010","42901","1"
"Russian Federation","2009","Total","Female","31","Data tabulated by year of occurrence","Final figure, complete","2010","37946","1"
"Russian Federation","2009","Total","Female","32","Data tabulated by year of occurrence","Final figure, complete","2010","33762","1"
"Russian Federation","2009","Total","Female","33","Data tabulated by year of occurrence","Final figure, complete","2010","29655","1"
"Russian Federation","2009","Total","Female","34","Data tabulated by year of occurrence","Final figure, complete","2010","24894","1"
"Russian Federation","2009","Total","Female","35","Data tabulated by year of occurrence","Final figure, complete","2010","20837","1"
"Russian Federation","2009","Total","Female","36","Data tabulated by year of occurrence","Final figure, complete","2010","16957","1"
"Russian Federation","2009","Total","Female","37","Data tabulated by year of occurrence","Final figure, complete","2010","13306","1"
"Russian Federation","2009","Total","Female","38","Data tabulated by year of occurrence","Final figure, complete","2010","9961","1"
"Russian Federation","2009","Total","Female","39","Data tabulated by year of occurrence","Final figure, complete","2010","7276","1"
"Russian Federation","2009","Total","Female","40","Data tabulated by year of occurrence","Final figure, complete","2010","4984","1"
"Russian Federation","2009","Total","Female","41","Data tabulated by year of occurrence","Final figure, complete","2010","3206","1"
"Russian Federation","2009","Total","Female","42","Data tabulated by year of occurrence","Final figure, complete","2010","2010","1"
"Russian Federation","2009","Total","Female","43","Data tabulated by year of occurrence","Final figure, complete","2010","1242","1"
"Russian Federation","2009","Total","Female","44","Data tabulated by year of occurrence","Final figure, complete","2010","685","1"
"Russian Federation","2009","Total","Female","45","Data tabulated by year of occurrence","Final figure, complete","2010","357","1"
"Russian Federation","2009","Total","Female","46","Data tabulated by year of occurrence","Final figure, complete","2010","184","1"
"Russian Federation","2009","Total","Female","47","Data tabulated by year of occurrence","Final figure, complete","2010","82","1"
"Russian Federation","2009","Total","Female","48","Data tabulated by year of occurrence","Final figure, complete","2010","45","1"
"Russian Federation","2009","Total","Female","49","Data tabulated by year of occurrence","Final figure, complete","2010","28","1"
"Russian Federation","2009","Total","Female","50 +","Data tabulated by year of occurrence","Final figure, complete","2010","41","1"
"Russian Federation","2009","Total","Female","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","499","1"
"Russian Federation","2008","Total","Male","Total","Data tabulated by year of occurrence","Final figure, complete","2009","880543","1"
"Russian Federation","2008","Total","Male","12","Data tabulated by year of occurrence","Final figure, complete","2009","5","1"
"Russian Federation","2008","Total","Male","13","Data tabulated by year of occurrence","Final figure, complete","2009","17","1"
"Russian Federation","2008","Total","Male","14","Data tabulated by year of occurrence","Final figure, complete","2009","195","1"
"Russian Federation","2008","Total","Male","15","Data tabulated by year of occurrence","Final figure, complete","2009","1046","1"
"Russian Federation","2008","Total","Male","16","Data tabulated by year of occurrence","Final figure, complete","2009","3996","1"
"Russian Federation","2008","Total","Male","17","Data tabulated by year of occurrence","Final figure, complete","2009","11171","1"
"Russian Federation","2008","Total","Male","18","Data tabulated by year of occurrence","Final figure, complete","2009","22272","1"
"Russian Federation","2008","Total","Male","19","Data tabulated by year of occurrence","Final figure, complete","2009","35997","1"
"Russian Federation","2008","Total","Male","20","Data tabulated by year of occurrence","Final figure, complete","2009","48763","1"
"Russian Federation","2008","Total","Male","21","Data tabulated by year of occurrence","Final figure, complete","2009","56657","1"
"Russian Federation","2008","Total","Male","22","Data tabulated by year of occurrence","Final figure, complete","2009","57893","1"
"Russian Federation","2008","Total","Male","23","Data tabulated by year of occurrence","Final figure, complete","2009","60914","1"
"Russian Federation","2008","Total","Male","24","Data tabulated by year of occurrence","Final figure, complete","2009","64577","1"
"Russian Federation","2008","Total","Male","25","Data tabulated by year of occurrence","Final figure, complete","2009","64429","1"
"Russian Federation","2008","Total","Male","26","Data tabulated by year of occurrence","Final figure, complete","2009","58091","1"
"Russian Federation","2008","Total","Male","27","Data tabulated by year of occurrence","Final figure, complete","2009","53863","1"
"Russian Federation","2008","Total","Male","28","Data tabulated by year of occurrence","Final figure, complete","2009","50397","1"
"Russian Federation","2008","Total","Male","29","Data tabulated by year of occurrence","Final figure, complete","2009","45999","1"
"Russian Federation","2008","Total","Male","30","Data tabulated by year of occurrence","Final figure, complete","2009","42472","1"
"Russian Federation","2008","Total","Male","31","Data tabulated by year of occurrence","Final figure, complete","2009","37869","1"
"Russian Federation","2008","Total","Male","32","Data tabulated by year of occurrence","Final figure, complete","2009","32952","1"
"Russian Federation","2008","Total","Male","33","Data tabulated by year of occurrence","Final figure, complete","2009","28152","1"
"Russian Federation","2008","Total","Male","34","Data tabulated by year of occurrence","Final figure, complete","2009","24192","1"
"Russian Federation","2008","Total","Male","35","Data tabulated by year of occurrence","Final figure, complete","2009","20226","1"
"Russian Federation","2008","Total","Male","36","Data tabulated by year of occurrence","Final figure, complete","2009","16594","1"
"Russian Federation","2008","Total","Male","37","Data tabulated by year of occurrence","Final figure, complete","2009","12666","1"
"Russian Federation","2008","Total","Male","38","Data tabulated by year of occurrence","Final figure, complete","2009","9455","1"
